"Beatrice B.","Caffè Pedrocchi",2,"Molto bello e situato in centro storico, prezzi un po' alti",16/05/2024
"Francesco R.","Prato della Valle",4,"Ideale per rinfrescarsi sotto gli alberi dopo una passeggiata in città",11/04/2024
"Francesco R.","Dei",5,"Ci sono un po' di cose da aggiustare, come le sedie e il riscaldamento... 5 stelle solo per i gatti del palaDei",17/05/2024
"Giovanni R.","Basilica del Santo",5,"La Basilica del Santo è uno dei luoghi più spirituali che abbia mai visitato. L'architettura gotica è mozzafiato e la tomba di Sant'Antonio è un luogo di pellegrinaggio emozionante. Ogni volta che entro, sento una pace interiore incredibile. Assolutamente da vedere!",16/05/2024
"Maria L.","Basilica del Santo",4,"La basilica è magnifica e piena di storia. Tuttavia, spesso è molto affollata, specialmente durante le festività. Consiglio di andare la mattina presto per godersela appieno.",16/08/2023
"Alessandro P.","Caffè Pedrocchi",5,"Il Caffè Pedrocchi è un luogo storico e affascinante. L'atmosfera è elegante e i caffè che servono sono deliziosi. Perfetto per una pausa rilassante nel cuore di Padova. Da non perdere il loro famoso caffè alla menta!",27/12/2032
"Francesca M.","Caffè Pedrocchi",4,"Un caffè molto bello con un'atmosfera unica. Prezzi un po' alti, ma giustificati dalla qualità e dalla storia del luogo. Ottimi anche i dolci.",06/01/2023
"Marco T.","Cappella degli Scrovegni",5,"La Cappella degli Scrovegni è un capolavoro assoluto. Gli affreschi di Giotto sono spettacolari e conservati in modo impeccabile. Ogni dettaglio racconta una storia e l'audioguida è molto utile per comprendere appieno l'arte.",20/11/2023
"Laura B.","Cappella degli Scrovegni",5,"Esperienza indimenticabile. Gli affreschi sono tra i migliori esempi di arte medievale in Italia. Vale ogni minuto speso. Consiglio vivamente di prenotare in anticipo per evitare lunghe attese.",18/11/2023
"Luca V.","Orto Botanico",4,"L'Orto Botanico di Padova è un'oasi di tranquillità. La varietà di piante è impressionante e c'è molto da imparare. Perfetto per una passeggiata rilassante e istruttiva. Un po' caro l'ingresso, ma ne vale la pena.",10/04/2023
"Elena S.","Orto Botanico",5,"Meraviglioso! È il più antico orto botanico universitario al mondo e si vede la cura con cui è mantenuto. Ottimo anche per una visita con i bambini, che rimangono affascinati dalla serra tropicale.",14/04/2024
"Giovanni M.","Porta Portello",4,"Porta Portello è un bell'esempio di architettura storica. Il luogo ha un'atmosfera suggestiva, specialmente la sera quando le luci riflettono sull'acqua del canale. Una passeggiata qui ti riporta indietro nel tempo.",10/10/2022
"Sara D.","Porta Portello",3,"Interessante e ben conservata, ma non c'è molto da fare nei dintorni. Un buon punto di partenza per esplorare altre parti storiche della città.",16/11/2023
"Paolo G.","Prato della Valle",5,"Prato della Valle è uno dei luoghi più iconici di Padova. L'ampio spazio aperto è perfetto per passeggiate, pic-nic e semplicemente rilassarsi. Le statue e il canale che lo circonda aggiungono un tocco pittoresco.",16/05/2024
"Chiara F.","Prato della Valle",5,"Amo Prato della Valle! È perfetto per fare jogging o una passeggiata tranquilla. Gli eventi e i mercati che si tengono qui rendono il luogo ancora più vivace. Assolutamente da visitare.",20/03/2024
"Roberto C.","Torre dell'Orologio",4,"La Torre dell'Orologio è affascinante, con il suo antico orologio astronomico che è ancora funzionante. La vista dalla cima è fantastica e offre una prospettiva unica sulla città. Consiglio la visita guidata per apprezzare meglio la storia del monumento.",10/05/2024
